#abgabe.csv
#Raphael
#Wirnsberger
#12220836
group,number,duration,size
Maximumsuche,1,3639,0
Maximumsuche,2,868,1
Maximumsuche,3,838,2
Maximumsuche,4,860,3
Maximumsuche,5,897,4
Maximumsuche,6,956,5
Maximumsuche,7,1213,6
Maximumsuche,8,871,7
Maximumsuche,9,878,8
Maximumsuche,10,953,9
Maximumsuche,11,978,10
Maximumsuche,12,970,11
Maximumsuche,13,951,12
Maximumsuche,14,1010,13
Maximumsuche,15,1001,14
Maximumsuche,16,1010,15
Maximumsuche,17,1104,16
Maximumsuche,18,1038,17
Maximumsuche,19,999,18
Maximumsuche,20,1098,19
Maximumsuche,21,1059,20
Maximumsuche,22,1092,21
Maximumsuche,23,1175,22
Maximumsuche,24,1197,23
Maximumsuche,25,1166,24
Maximumsuche,26,1221,25
Maximumsuche,27,1199,26
Maximumsuche,28,1191,27
Maximumsuche,29,1194,28
Maximumsuche,30,1250,29
Maximumsuche,31,1252,30
Maximumsuche,32,1299,31
Maximumsuche,33,1327,32
Maximumsuche,34,1291,33
Maximumsuche,35,1354,34
Maximumsuche,36,1355,35
Maximumsuche,37,1352,36
Maximumsuche,38,1338,37
Maximumsuche,39,1349,38
Maximumsuche,40,1410,39
Maximumsuche,41,1400,40
Maximumsuche,42,1352,41
Maximumsuche,43,1436,42
Maximumsuche,44,1425,43
Maximumsuche,45,1456,44
Maximumsuche,46,2851,45
Maximumsuche,47,1455,46
Maximumsuche,48,1455,47
Maximumsuche,49,1505,48
Maximumsuche,50,1519,49
Maximumsuche,51,1556,50
Maximumsuche,52,1497,51
Maximumsuche,53,1484,52
Maximumsuche,54,2254,53
Maximumsuche,55,1851,54
Maximumsuche,56,1650,55
Maximumsuche,57,1593,56
Maximumsuche,58,1608,57
Maximumsuche,59,1694,58
Maximumsuche,60,1622,59
Maximumsuche,61,1646,60
Maximumsuche,62,1681,61
Maximumsuche,63,1701,62
Maximumsuche,64,1754,63
Maximumsuche,65,2681,64
Maximumsuche,66,1727,65
Maximumsuche,67,1764,66
Maximumsuche,68,1796,67
Maximumsuche,69,1757,68
Maximumsuche,70,1757,69
Maximumsuche,71,1769,70
Maximumsuche,72,1773,71
Maximumsuche,73,1810,72
Maximumsuche,74,1831,73
Maximumsuche,75,1805,74
Maximumsuche,76,1856,75
Maximumsuche,77,1840,76
Maximumsuche,78,2099,77
Maximumsuche,79,2984,78
Maximumsuche,80,1938,79
Maximumsuche,81,1968,80
Maximumsuche,82,2471,81
Maximumsuche,83,3032,82
Maximumsuche,84,2891,83
Maximumsuche,85,2949,84
Maximumsuche,86,2902,85
Maximumsuche,87,3207,86
Maximumsuche,88,3288,87
Maximumsuche,89,3268,88
Maximumsuche,90,2812,89
Maximumsuche,91,3254,90
Maximumsuche,92,4685,91
Maximumsuche,93,2990,92
Maximumsuche,94,3444,93
Maximumsuche,95,3451,94
Maximumsuche,96,2988,95
Maximumsuche,97,3202,96
Maximumsuche,98,3510,97
Maximumsuche,99,3495,98
Maximumsuche,100,3484,99
Maximumsuche,101,3609,100
Maximumsuche,102,7557,200
Maximumsuche,103,7898,300
Maximumsuche,104,10301,400
Maximumsuche,105,14433,500
Maximumsuche,106,14730,600
Maximumsuche,107,18719,700
Maximumsuche,108,20333,800
Maximumsuche,109,23211,900
Maximumsuche,110,29793,1000
Maximumsuche,111,7629,1100
Maximumsuche,112,8341,1200
Maximumsuche,113,8972,1300
Maximumsuche,114,9501,1400
Maximumsuche,115,10185,1500
Maximumsuche,116,10764,1600
Maximumsuche,117,12652,1700
Maximumsuche,118,82630,1800
Maximumsuche,119,11632,1900
Maximumsuche,120,13045,2000
Maximumsuche,121,14902,2100
Maximumsuche,122,13404,2200
Maximumsuche,123,14472,2300
Maximumsuche,124,15576,2400
Maximumsuche,125,16884,2500
Maximumsuche,126,16560,2600
Maximumsuche,127,17647,2700
Maximumsuche,128,19678,2800
Maximumsuche,129,18725,2900
Maximumsuche,130,25585,3000
Maximumsuche,131,18826,3100
Maximumsuche,132,19974,3200
Maximumsuche,133,22472,3300
Maximumsuche,134,21659,3400
Maximumsuche,135,22889,3500
Maximumsuche,136,22268,3600
Maximumsuche,137,23498,3700
Maximumsuche,138,25505,3800
Maximumsuche,139,25279,3900
Maximumsuche,140,25136,4000
Maximumsuche,141,26160,4100
Maximumsuche,142,27860,4200
