#find-closest-pair.csv
#Raphael
#Wirnsberger
#12220836
group,number,duration,size
Dichtestes Punktepaar,1,47165684830,2
Dichtestes Punktepaar,2,15699,3
Dichtestes Punktepaar,3,18100,4
Dichtestes Punktepaar,4,26671,5
Dichtestes Punktepaar,5,32815,6
Dichtestes Punktepaar,6,43927,7
Dichtestes Punktepaar,7,82617,8
Dichtestes Punktepaar,8,46960,9
Dichtestes Punktepaar,9,57918,10
Dichtestes Punktepaar,10,65959,11
Dichtestes Punktepaar,11,109541,12
Dichtestes Punktepaar,12,123465,13
Dichtestes Punktepaar,13,67384,14
Dichtestes Punktepaar,14,66647,15
Dichtestes Punktepaar,15,56326,16
Dichtestes Punktepaar,16,63777,17
Dichtestes Punktepaar,17,70616,18
Dichtestes Punktepaar,18,77224,19
Dichtestes Punktepaar,19,81106,20
Dichtestes Punktepaar,20,93131,21
Dichtestes Punktepaar,21,95280,22
Dichtestes Punktepaar,22,129126,23
Dichtestes Punktepaar,23,133930,24
Dichtestes Punktepaar,24,142417,25
Dichtestes Punktepaar,25,153958,26
Dichtestes Punktepaar,26,161205,27
Dichtestes Punktepaar,27,180801,28
Dichtestes Punktepaar,28,150626,29
Dichtestes Punktepaar,29,153337,30
Dichtestes Punktepaar,30,123458,31
Dichtestes Punktepaar,31,154459,32
Dichtestes Punktepaar,32,139929,33
Dichtestes Punktepaar,33,145237,34
Dichtestes Punktepaar,34,170485,35
Dichtestes Punktepaar,35,122711,36
Dichtestes Punktepaar,36,127817,37
Dichtestes Punktepaar,37,175065,38
Dichtestes Punktepaar,38,151200,39
Dichtestes Punktepaar,39,156960,40
Dichtestes Punktepaar,40,162453,41
Dichtestes Punktepaar,41,162379,42
Dichtestes Punktepaar,42,174268,43
Dichtestes Punktepaar,43,181893,44
Dichtestes Punktepaar,44,192571,45
Dichtestes Punktepaar,45,169454,46
Dichtestes Punktepaar,46,178257,47
Dichtestes Punktepaar,47,206434,48
Dichtestes Punktepaar,48,197347,49
Dichtestes Punktepaar,49,237459,50
Dichtestes Punktepaar,50,255608,51
Dichtestes Punktepaar,51,218097,52
Dichtestes Punktepaar,52,232658,53
Dichtestes Punktepaar,53,315853,54
Dichtestes Punktepaar,54,258067,55
Dichtestes Punktepaar,55,225667,56
Dichtestes Punktepaar,56,221796,57
Dichtestes Punktepaar,57,233558,58
Dichtestes Punktepaar,58,239978,59
Dichtestes Punktepaar,59,248750,60
Dichtestes Punktepaar,60,257651,61
Dichtestes Punktepaar,61,268218,62
Dichtestes Punktepaar,62,274292,63
Dichtestes Punktepaar,63,282620,64
Dichtestes Punktepaar,64,301388,65
Dichtestes Punktepaar,65,299865,66
Dichtestes Punktepaar,66,320886,67
Dichtestes Punktepaar,67,320497,68
Dichtestes Punktepaar,68,319220,69
Dichtestes Punktepaar,69,331341,70
Dichtestes Punktepaar,70,348257,71
Dichtestes Punktepaar,71,364656,72
Dichtestes Punktepaar,72,172565,73
Dichtestes Punktepaar,73,85125,74
Dichtestes Punktepaar,74,121425,75
Dichtestes Punktepaar,75,148956,76
Dichtestes Punktepaar,76,37442,77
Dichtestes Punktepaar,77,37472,78
Dichtestes Punktepaar,78,53440,79
Dichtestes Punktepaar,79,38411,80
Dichtestes Punktepaar,80,39336,81
Dichtestes Punktepaar,81,42070,82
Dichtestes Punktepaar,82,41311,83
Dichtestes Punktepaar,83,57249,84
Dichtestes Punktepaar,84,78832,85
Dichtestes Punktepaar,85,85264,86
Dichtestes Punktepaar,86,94352,87
Dichtestes Punktepaar,87,90750,88
Dichtestes Punktepaar,88,93917,89
Dichtestes Punktepaar,89,95245,90
Dichtestes Punktepaar,90,99967,91
Dichtestes Punktepaar,91,96808,92
Dichtestes Punktepaar,92,103374,93
Dichtestes Punktepaar,93,104219,94
Dichtestes Punktepaar,94,99759,95
Dichtestes Punktepaar,95,107230,96
Dichtestes Punktepaar,96,107175,97
Dichtestes Punktepaar,97,114654,98
Dichtestes Punktepaar,98,111908,99
Dichtestes Punktepaar,99,121370,100
Dichtestes Punktepaar,100,478335,200
Dichtestes Punktepaar,101,1082443,300
Dichtestes Punktepaar,102,1719109,400
Dichtestes Punktepaar,103,686190,500
Dichtestes Punktepaar,104,897891,600
Dichtestes Punktepaar,105,1076677,700
Dichtestes Punktepaar,106,1372150,800
Dichtestes Punktepaar,107,1683632,900
Dichtestes Punktepaar,108,2097071,1000
Dichtestes Punktepaar,109,2448702,1100
Dichtestes Punktepaar,110,4668149,1600
Dichtestes Punktepaar,111,7786441,2100
Dichtestes Punktepaar,112,11439390,2600
Dichtestes Punktepaar,113,16985005,3100
Dichtestes Punktepaar,114,22837504,3600
Dichtestes Punktepaar,115,30262252,4100
Dichtestes Punktepaar,116,36195938,4600
Dichtestes Punktepaar,117,39205660,5100
Dichtestes Punktepaar,118,46840907,5600
Dichtestes Punktepaar,119,55461950,6100
Dichtestes Punktepaar,120,75735603,7100
Dichtestes Punktepaar,121,98594646,8100
Dichtestes Punktepaar,122,123592947,9100
Dichtestes Punktepaar,123,152223677,10100
Dichtestes Punktepaar,124,184477200,11100
Dichtestes Punktepaar,125,218330860,12100
Dichtestes Punktepaar,126,256139370,13100
Dichtestes Punktepaar,127,297628867,14100
Dichtestes Punktepaar,128,351092509,15100
Dichtestes Punktepaar,129,392761106,16100
