#find-max-only.csv
#Raphael
#Wirnsberger
#12220836
group,number,duration,size
Maximumsuche,1,6713,0
Maximumsuche,2,948,1
Maximumsuche,3,871,2
Maximumsuche,4,858,3
Maximumsuche,5,997,4
Maximumsuche,6,904,5
Maximumsuche,7,901,6
Maximumsuche,8,1002,7
Maximumsuche,9,910,8
Maximumsuche,10,1033,9
Maximumsuche,11,943,10
Maximumsuche,12,1001,11
Maximumsuche,13,1028,12
Maximumsuche,14,1072,13
Maximumsuche,15,1132,14
Maximumsuche,16,1100,15
Maximumsuche,17,1040,16
Maximumsuche,18,1036,17
Maximumsuche,19,996,18
Maximumsuche,20,1113,19
Maximumsuche,21,1112,20
Maximumsuche,22,1137,21
Maximumsuche,23,1099,22
Maximumsuche,24,1263,23
Maximumsuche,25,1161,24
Maximumsuche,26,1276,25
Maximumsuche,27,1195,26
Maximumsuche,28,1251,27
Maximumsuche,29,1277,28
Maximumsuche,30,1248,29
Maximumsuche,31,1295,30
Maximumsuche,32,1337,31
Maximumsuche,33,1217,32
Maximumsuche,34,1390,33
Maximumsuche,35,1283,34
Maximumsuche,36,1312,35
Maximumsuche,37,1333,36
Maximumsuche,38,1396,37
Maximumsuche,39,1386,38
Maximumsuche,40,1421,39
Maximumsuche,41,1373,40
Maximumsuche,42,1436,41
Maximumsuche,43,1447,42
Maximumsuche,44,1439,43
Maximumsuche,45,1511,44
Maximumsuche,46,2665,45
Maximumsuche,47,1461,46
Maximumsuche,48,1456,47
Maximumsuche,49,1512,48
Maximumsuche,50,1508,49
Maximumsuche,51,1594,50
Maximumsuche,52,1478,51
Maximumsuche,53,1582,52
Maximumsuche,54,1567,53
Maximumsuche,55,1631,54
Maximumsuche,56,1605,55
Maximumsuche,57,1602,56
Maximumsuche,58,1636,57
Maximumsuche,59,1620,58
Maximumsuche,60,1612,59
Maximumsuche,61,1695,60
Maximumsuche,62,1702,61
Maximumsuche,63,1702,62
Maximumsuche,64,1729,63
Maximumsuche,65,2728,64
Maximumsuche,66,1744,65
Maximumsuche,67,1763,66
Maximumsuche,68,1789,67
Maximumsuche,69,1835,68
Maximumsuche,70,1853,69
Maximumsuche,71,1791,70
Maximumsuche,72,1846,71
Maximumsuche,73,1763,72
Maximumsuche,74,1846,73
Maximumsuche,75,1836,74
Maximumsuche,76,1903,75
Maximumsuche,77,1887,76
Maximumsuche,78,1944,77
Maximumsuche,79,2872,78
Maximumsuche,80,2436,79
Maximumsuche,81,2763,80
Maximumsuche,82,1995,81
Maximumsuche,83,1997,82
Maximumsuche,84,1973,83
Maximumsuche,85,1977,84
Maximumsuche,86,2047,85
Maximumsuche,87,2000,86
Maximumsuche,88,2101,87
Maximumsuche,89,2077,88
Maximumsuche,90,2099,89
Maximumsuche,91,2079,90
Maximumsuche,92,5040,91
Maximumsuche,93,2148,92
Maximumsuche,94,2800,93
Maximumsuche,95,3158,94
Maximumsuche,96,2154,95
Maximumsuche,97,2244,96
Maximumsuche,98,2240,97
Maximumsuche,99,2223,98
Maximumsuche,100,2276,99
Maximumsuche,101,2249,100
Maximumsuche,102,4850,200
Maximumsuche,103,5049,300
Maximumsuche,104,6382,400
Maximumsuche,105,8830,500
Maximumsuche,106,9057,600
Maximumsuche,107,11287,700
Maximumsuche,108,12851,800
Maximumsuche,109,14339,900
Maximumsuche,110,15668,1000
Maximumsuche,111,17408,1100
Maximumsuche,112,18557,1200
Maximumsuche,113,19952,1300
Maximumsuche,114,21353,1400
Maximumsuche,115,23235,1500
Maximumsuche,116,24100,1600
Maximumsuche,117,25411,1700
Maximumsuche,118,28088,1800
Maximumsuche,119,28489,1900
Maximumsuche,120,29735,2000
Maximumsuche,121,7538,2100
Maximumsuche,122,7694,2200
Maximumsuche,123,9784,2300
Maximumsuche,124,8336,2400
Maximumsuche,125,8654,2500
Maximumsuche,126,9033,2600
Maximumsuche,127,10341,2700
Maximumsuche,128,9631,2800
Maximumsuche,129,9989,2900
Maximumsuche,130,11250,3000
Maximumsuche,131,10563,3100
Maximumsuche,132,11925,3200
Maximumsuche,133,11306,3300
Maximumsuche,134,11741,3400
Maximumsuche,135,12935,3500
Maximumsuche,136,12699,3600
Maximumsuche,137,13471,3700
Maximumsuche,138,12860,3800
Maximumsuche,139,13967,3900
Maximumsuche,140,13467,4000
Maximumsuche,141,21328,4100
Maximumsuche,142,14227,4200
Maximumsuche,143,15398,4300
