#subset-sum-only-large.csv
#Raphael
#Wirnsberger
#12220836
group,number,duration,size
Teilsummen - Negativ,1,12294,1
Teilsummen - Negativ,2,9132,1
Teilsummen - Negativ,3,8144,1
Teilsummen - Negativ,4,9062,1
Teilsummen - Negativ,5,9387,1
Teilsummen - Negativ,6,8161,1
Teilsummen - Negativ,7,8696,1
Teilsummen - Negativ,8,8123,1
Teilsummen - Negativ,9,8445,1
Teilsummen - Negativ,10,8306,1
Teilsummen - Negativ,11,9964,2
Teilsummen - Negativ,12,10799,2
Teilsummen - Negativ,13,9588,2
Teilsummen - Negativ,14,9513,2
Teilsummen - Negativ,15,11443,2
Teilsummen - Negativ,16,10297,2
Teilsummen - Negativ,17,11038,2
Teilsummen - Negativ,18,10112,2
Teilsummen - Negativ,19,11949,2
Teilsummen - Negativ,20,8860,2
Teilsummen - Negativ,21,13250,3
Teilsummen - Negativ,22,11637,3
Teilsummen - Negativ,23,15219,3
Teilsummen - Negativ,24,13971,3
Teilsummen - Negativ,25,13516,3
Teilsummen - Negativ,26,13594,3
Teilsummen - Negativ,27,13244,3
Teilsummen - Negativ,28,12804,3
Teilsummen - Negativ,29,13292,3
Teilsummen - Negativ,30,27382,3
Teilsummen - Negativ,31,30685,4
Teilsummen - Positiv,32,16436,4
Teilsummen - Negativ,33,20061,4
Teilsummen - Negativ,34,15710,4
Teilsummen - Negativ,35,18697,4
Teilsummen - Negativ,36,16634,4
Teilsummen - Negativ,37,18997,4
Teilsummen - Negativ,38,20863,4
Teilsummen - Negativ,39,16009,4
Teilsummen - Negativ,40,19270,4
Teilsummen - Negativ,41,26810,5
Teilsummen - Negativ,42,23665,5
Teilsummen - Negativ,43,41281,5
Teilsummen - Negativ,44,32914,5
Teilsummen - Negativ,45,21915,5
Teilsummen - Negativ,46,23839,5
Teilsummen - Negativ,47,23583,5
Teilsummen - Negativ,48,22382,5
Teilsummen - Negativ,49,17685,5
Teilsummen - Negativ,50,15735,5
Teilsummen - Negativ,51,21815,6
Teilsummen - Negativ,52,22395,6
Teilsummen - Negativ,53,15330,6
Teilsummen - Negativ,54,18353,6
Teilsummen - Negativ,55,31449,6
Teilsummen - Positiv,56,32630,6
Teilsummen - Negativ,57,20282,6
Teilsummen - Negativ,58,18474,6
Teilsummen - Negativ,59,17222,6
Teilsummen - Negativ,60,19126,6
Teilsummen - Negativ,61,34418,7
Teilsummen - Negativ,62,29455,7
Teilsummen - Negativ,63,25189,7
Teilsummen - Positiv,64,20821,7
Teilsummen - Negativ,65,20270,7
Teilsummen - Negativ,66,27183,7
Teilsummen - Negativ,67,25674,7
Teilsummen - Negativ,68,21619,7
Teilsummen - Negativ,69,21694,7
Teilsummen - Negativ,70,33938,7
Teilsummen - Negativ,71,27702,8
Teilsummen - Positiv,72,24217,8
Teilsummen - Negativ,73,33935,8
Teilsummen - Negativ,74,25953,8
Teilsummen - Negativ,75,34400,8
Teilsummen - Negativ,76,35494,8
Teilsummen - Negativ,77,34887,8
Teilsummen - Negativ,78,35693,8
Teilsummen - Positiv,79,21086,8
Teilsummen - Negativ,80,35141,8
Teilsummen - Positiv,81,37219,9
Teilsummen - Positiv,82,27720,9
Teilsummen - Negativ,83,38382,9
Teilsummen - Negativ,84,45176,9
Teilsummen - Negativ,85,52950,9
Teilsummen - Positiv,86,30323,9
Teilsummen - Positiv,87,26221,9
Teilsummen - Positiv,88,24805,9
Teilsummen - Positiv,89,22423,9
Teilsummen - Negativ,90,34783,9
Teilsummen - Positiv,91,22369,10
Teilsummen - Positiv,92,25558,10
Teilsummen - Negativ,93,31893,10
Teilsummen - Negativ,94,34655,10
Teilsummen - Negativ,95,40301,10
Teilsummen - Negativ,96,44405,10
Teilsummen - Negativ,97,41544,10
Teilsummen - Negativ,98,40873,10
Teilsummen - Negativ,99,42786,10
Teilsummen - Negativ,100,35820,10
Teilsummen - Positiv,101,40510,11
Teilsummen - Negativ,102,45572,11
Teilsummen - Negativ,103,49313,11
Teilsummen - Positiv,104,39979,11
Teilsummen - Positiv,105,34748,11
Teilsummen - Positiv,106,30334,11
Teilsummen - Positiv,107,30097,11
Teilsummen - Positiv,108,26272,11
Teilsummen - Positiv,109,35351,11
