#subset-sum-only.csv
#Raphael
#Wirnsberger
#12220836
group,number,duration,size
Teilsummen - Negativ,1,11079,1
Teilsummen - Negativ,2,3151,1
Teilsummen - Negativ,3,3030,1
Teilsummen - Negativ,4,2596,1
Teilsummen - Negativ,5,3133,1
Teilsummen - Negativ,6,3611,1
Teilsummen - Negativ,7,3048,1
Teilsummen - Negativ,8,3035,1
Teilsummen - Negativ,9,3106,1
Teilsummen - Negativ,10,3040,1
Teilsummen - Negativ,11,5554,2
Teilsummen - Negativ,12,6441,2
Teilsummen - Negativ,13,5423,2
Teilsummen - Negativ,14,5293,2
Teilsummen - Negativ,15,7898,2
Teilsummen - Negativ,16,6258,2
Teilsummen - Negativ,17,18312,2
Teilsummen - Negativ,18,5937,2
Teilsummen - Negativ,19,8363,2
Teilsummen - Negativ,20,6189,2
Teilsummen - Negativ,21,11963,3
Teilsummen - Negativ,22,9292,3
Teilsummen - Negativ,23,14003,3
Teilsummen - Negativ,24,14462,3
Teilsummen - Negativ,25,12929,3
Teilsummen - Negativ,26,13544,3
Teilsummen - Negativ,27,10988,3
Teilsummen - Negativ,28,9511,3
Teilsummen - Negativ,29,12423,3
Teilsummen - Negativ,30,15187,3
Teilsummen - Negativ,31,19620,4
Teilsummen - Positiv,32,18369,4
Teilsummen - Negativ,33,24198,4
Teilsummen - Negativ,34,17880,4
Teilsummen - Negativ,35,22520,4
Teilsummen - Negativ,36,17430,4
Teilsummen - Negativ,37,21938,4
Teilsummen - Negativ,38,24784,4
Teilsummen - Negativ,39,16365,4
Teilsummen - Negativ,40,24802,4
Teilsummen - Negativ,41,33457,5
Teilsummen - Negativ,42,32325,5
Teilsummen - Negativ,43,36773,5
Teilsummen - Negativ,44,24857,5
Teilsummen - Negativ,45,21828,5
Teilsummen - Negativ,46,29967,5
Teilsummen - Negativ,47,34170,5
Teilsummen - Negativ,48,29089,5
Teilsummen - Negativ,49,37013,5
Teilsummen - Negativ,50,32201,5
Teilsummen - Negativ,51,45610,6
Teilsummen - Negativ,52,43500,6
Teilsummen - Negativ,53,26097,6
Teilsummen - Negativ,54,38366,6
Teilsummen - Negativ,55,51668,6
Teilsummen - Positiv,56,44589,6
Teilsummen - Negativ,57,35836,6
Teilsummen - Negativ,58,31263,6
Teilsummen - Negativ,59,35764,6
Teilsummen - Negativ,60,44850,6
Teilsummen - Negativ,61,71949,7
Teilsummen - Negativ,62,44166,7
Teilsummen - Negativ,63,45728,7
Teilsummen - Positiv,64,60246,7
Teilsummen - Negativ,65,63212,7
Teilsummen - Negativ,66,61536,7
Teilsummen - Negativ,67,56569,7
Teilsummen - Negativ,68,61786,7
Teilsummen - Negativ,69,72247,7
Teilsummen - Negativ,70,110095,7
Teilsummen - Negativ,71,93616,8
Teilsummen - Positiv,72,60933,8
Teilsummen - Negativ,73,75335,8
Teilsummen - Negativ,74,80860,8
Teilsummen - Negativ,75,85234,8
Teilsummen - Negativ,76,106386,8
Teilsummen - Negativ,77,70708,8
Teilsummen - Negativ,78,115669,8
Teilsummen - Positiv,79,51144,8
Teilsummen - Negativ,80,79798,8
Teilsummen - Positiv,81,100161,9
Teilsummen - Positiv,82,59316,9
Teilsummen - Negativ,83,113881,9
Teilsummen - Negativ,84,109595,9
Teilsummen - Negativ,85,117586,9
Teilsummen - Positiv,86,75585,9
Teilsummen - Positiv,87,80569,9
Teilsummen - Positiv,88,60091,9
Teilsummen - Positiv,89,69665,9
Teilsummen - Negativ,90,110588,9
Teilsummen - Positiv,91,81038,10
Teilsummen - Positiv,92,68082,10
Teilsummen - Negativ,93,117017,10
Teilsummen - Negativ,94,103425,10
Teilsummen - Negativ,95,132449,10
Teilsummen - Negativ,96,152067,10
Teilsummen - Negativ,97,138218,10
Teilsummen - Negativ,98,144026,10
Teilsummen - Negativ,99,44358,10
Teilsummen - Negativ,100,33641,10
Teilsummen - Positiv,101,60673,11
Teilsummen - Negativ,102,33323,11
Teilsummen - Negativ,103,33952,11
Teilsummen - Positiv,104,23542,11
Teilsummen - Positiv,105,24209,11
Teilsummen - Positiv,106,24713,11
Teilsummen - Positiv,107,18833,11
Teilsummen - Positiv,108,18481,11
Teilsummen - Positiv,109,27262,11
Teilsummen - Positiv,110,17223,11
Teilsummen - Positiv,111,22219,12
Teilsummen - Positiv,112,34565,12
Teilsummen - Positiv,113,24015,12
Teilsummen - Positiv,114,19060,12
Teilsummen - Negativ,115,39213,12
Teilsummen - Negativ,116,39951,12
Teilsummen - Negativ,117,28269,12
Teilsummen - Negativ,118,38805,12
Teilsummen - Negativ,119,39152,12
Teilsummen - Positiv,120,32637,12
Teilsummen - Negativ,121,43582,13
Teilsummen - Positiv,122,33248,13
Teilsummen - Positiv,123,26033,13
Teilsummen - Negativ,124,38549,13
Teilsummen - Negativ,125,43840,13
Teilsummen - Negativ,126,32801,13
Teilsummen - Negativ,127,38629,13
Teilsummen - Negativ,128,45061,13
Teilsummen - Positiv,129,22943,13
Teilsummen - Negativ,130,31661,13
Teilsummen - Negativ,131,51277,14
Teilsummen - Negativ,132,47227,14
Teilsummen - Positiv,133,27565,14
Teilsummen - Negativ,134,46974,14
Teilsummen - Negativ,135,44808,14
Teilsummen - Positiv,136,35618,14
Teilsummen - Positiv,137,35409,14
Teilsummen - Negativ,138,47130,14
Teilsummen - Negativ,139,52283,14
Teilsummen - Positiv,140,50393,14
Teilsummen - Negativ,141,53360,15
Teilsummen - Positiv,142,47134,15
Teilsummen - Negativ,143,112135,15
Teilsummen - Negativ,144,85392,15
