#medium-kruskal.csv
#Raphael
#Wirnsberger
#12220836
group,number,duration,relevantVertices,numberOfRelevantVertices,selectedEdges
Medium - Sparse - Kruskal,1,260342,46|47|48|49|50,5,49-48|47-46|50-49|48-47|0-0
Medium - Sparse - Kruskal,2,253023,37|38|39|40|41|42|43|44|45,9,40-39|41-40|42-41|43-42|38-37|44-43|39-38|45-44|0-0
Medium - Sparse - Kruskal,3,205859,37|38|39|40|41|42|43|44|45|46|47|48|49|50,14,40-39|41-40|42-41|43-42|38-37|49-48|47-46|50-49|44-43|39-38|45-44|46-45|48-47|0-0
Medium - Sparse - Kruskal,4,200903,28|29|30|31|32|33|34|35|36,9,30-29|33-32|31-30|32-31|34-33|29-28|35-34|36-35|0-0
Medium - Sparse - Kruskal,5,199128,28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,18,40-39|30-29|33-32|41-40|31-30|37-36|42-41|43-42|32-31|38-37|34-33|29-28|44-43|39-38|45-44|35-34|36-35|0-0
Medium - Sparse - Kruskal,6,236977,28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,23,40-39|30-29|33-32|41-40|31-30|37-36|42-41|43-42|32-31|38-37|49-48|34-33|47-46|50-49|29-28|44-43|39-38|45-44|35-34|36-35|46-45|48-47|0-0
Medium - Sparse - Kruskal,7,200158,19|20|21|22|23|24|25|26|27,9,26-25|22-21|27-26|25-24|20-19|24-23|21-20|23-22|0-0
Medium - Sparse - Kruskal,8,212291,19|20|21|22|23|24|25|26|27|46|47|48|49|50,14,46-21|26-25|22-21|27-26|47-22|25-24|48-23|20-19|49-48|24-23|21-20|50-25|23-22|0-0
Medium - Sparse - Kruskal,9,228875,19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45,18,40-39|26-25|41-40|22-21|27-26|42-41|43-42|25-24|20-19|45-20|38-37|44-19|24-23|21-20|23-22|44-43|39-38|0-0
Medium - Sparse - Kruskal,10,212852,19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45|46|47|48|49|50,23,40-39|46-21|26-25|41-40|22-21|27-26|42-41|43-42|47-22|25-24|48-23|20-19|45-20|38-37|44-19|49-48|24-23|21-20|50-25|23-22|44-43|39-38|0-0
Medium - Sparse - Kruskal,11,183038,19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36,18,26-25|30-29|33-32|22-21|27-26|31-30|25-24|32-31|20-19|24-23|34-33|21-20|28-27|23-22|29-28|35-34|36-35|0-0
Medium - Sparse - Kruskal,12,182981,19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|46|47|48|49|50,23,46-21|26-25|30-29|33-32|22-21|27-26|31-30|47-22|25-24|32-31|48-23|20-19|49-48|24-23|34-33|21-20|50-25|28-27|23-22|29-28|35-34|36-35|0-0
Medium - Sparse - Kruskal,13,194564,19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,27,40-39|26-25|30-29|33-32|41-40|22-21|27-26|31-30|37-36|42-41|43-42|25-24|32-31|20-19|45-20|38-37|44-19|24-23|34-33|21-20|28-27|23-22|29-28|44-43|39-38|35-34|0-0
Medium - Sparse - Kruskal,14,205139,19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,32,40-39|46-21|26-25|30-29|33-32|41-40|22-21|27-26|31-30|37-36|42-41|43-42|47-22|25-24|32-31|48-23|20-19|45-20|38-37|44-19|49-48|24-23|34-33|21-20|50-25|28-27|23-22|29-28|44-43|39-38|35-34|0-0
Medium - Sparse - Kruskal,15,176706,10|11|12|13|14|15|16|17|18,9,16-15|12-11|14-13|17-16|13-12|15-14|11-10|18-17|0-0
Medium - Sparse - Kruskal,16,166427,10|11|12|13|14|15|16|17|18|37|38|39|40|41|42|43|44|45,18,40-39|43-18|16-15|40-15|41-40|12-11|42-41|43-42|14-13|17-16|38-37|13-12|15-14|11-10|37-12|44-43|45-44|0-0
Medium - Sparse - Kruskal,17,184747,10|11|12|13|14|15|16|17|18|37|38|39|40|41|42|43|44|45|46|47|48|49|50,23,40-39|43-18|16-15|40-15|41-40|12-11|42-41|43-42|14-13|17-16|38-37|49-48|13-12|15-14|47-46|11-10|50-49|37-12|44-43|45-44|46-45|48-47|0-0
Medium - Sparse - Kruskal,18,179769,10|11|12|13|14|15|16|17|18|28|29|30|31|32|33|34|35|36,18,16-15|30-29|33-32|31-30|12-11|14-13|32-31|17-16|34-33|13-12|15-14|11-10|29-28|36-11|35-34|36-35|18-17|0-0
