#medium-prim.csv
#Raphael
#Wirnsberger
#12220836
group,number,duration,relevantVertices,numberOfRelevantVertices,selectedEdges
Medium - Sparse - Prim,1,278556,46|47|48|49|50,5,46-46|47-46|48-47|49-48|50-49
Medium - Sparse - Prim,2,210006,37|38|39|40|41|42|43|44|45,9,37-37|38-37|39-38|40-39|41-40|42-41|43-42|44-43|45-44
Medium - Sparse - Prim,3,317422,37|38|39|40|41|42|43|44|45|46|47|48|49|50,14,37-37|38-37|39-38|40-39|41-40|42-41|43-42|44-43|45-44|46-45|47-46|48-47|49-48|50-49
Medium - Sparse - Prim,4,213128,28|29|30|31|32|33|34|35|36,9,28-28|29-28|30-29|31-30|32-31|33-32|34-33|35-34|36-35
Medium - Sparse - Prim,5,266860,28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,18,28-28|29-28|30-29|31-30|32-31|33-32|34-33|35-34|36-35|37-36|38-37|39-38|40-39|41-40|42-41|43-42|44-43|45-44
Medium - Sparse - Prim,6,335451,28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,23,28-28|29-28|30-29|31-30|32-31|33-32|34-33|35-34|36-35|37-36|38-37|39-38|40-39|41-40|42-41|43-42|44-43|45-44|46-45|47-46|48-47|49-48|50-49
Medium - Sparse - Prim,7,167009,19|20|21|22|23|24|25|26|27,9,19-19|20-19|21-20|22-21|23-22|24-23|25-24|26-25|27-26
Medium - Sparse - Prim,8,281060,19|20|21|22|23|24|25|26|27|46|47|48|49|50,14,19-19|20-19|21-20|22-21|23-22|24-23|25-24|26-25|27-26|46-21|47-22|48-23|49-48|50-25
Medium - Sparse - Prim,9,271142,19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45,18,19-19|20-19|21-20|22-21|23-22|24-23|25-24|26-25|27-26|37-38|38-39|39-40|40-41|41-42|42-43|43-44|44-19|45-20
Medium - Sparse - Prim,10,324334,19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45|46|47|48|49|50,23,19-19|20-19|21-20|22-21|23-22|24-23|25-24|26-25|27-26|37-38|38-39|39-40|40-41|41-42|42-43|43-44|44-19|45-20|46-21|47-22|48-23|49-48|50-25
Medium - Sparse - Prim,11,273624,19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36,18,19-19|20-19|21-20|22-21|23-22|24-23|25-24|26-25|27-26|28-27|29-28|30-29|31-30|32-31|33-32|34-33|35-34|36-35
Medium - Sparse - Prim,12,331423,19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|46|47|48|49|50,23,19-19|20-19|21-20|22-21|23-22|24-23|25-24|26-25|27-26|28-27|29-28|30-29|31-30|32-31|33-32|34-33|35-34|36-35|46-21|47-22|48-23|49-48|50-25
Medium - Sparse - Prim,13,339295,19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,27,19-19|20-19|21-20|22-21|23-22|24-23|25-24|26-25|27-26|28-27|29-28|30-29|31-30|32-31|33-32|34-33|35-34|36-37|37-38|38-39|39-40|40-41|41-42|42-43|43-44|44-19|45-20
Medium - Sparse - Prim,14,458950,19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,32,19-19|20-19|21-20|22-21|23-22|24-23|25-24|26-25|27-26|28-27|29-28|30-29|31-30|32-31|33-32|34-33|35-34|36-37|37-38|38-39|39-40|40-41|41-42|42-43|43-44|44-19|45-20|46-21|47-22|48-23|49-48|50-25
Medium - Sparse - Prim,15,118435,10|11|12|13|14|15|16|17|18,9,10-10|11-10|12-11|13-12|14-13|15-14|16-15|17-16|18-17
Medium - Sparse - Prim,16,217302,10|11|12|13|14|15|16|17|18|37|38|39|40|41|42|43|44|45,18,10-10|11-10|12-11|13-12|14-13|15-14|16-15|17-16|18-43|37-12|38-37|39-40|40-15|41-40|42-41|43-42|44-43|45-44
Medium - Sparse - Prim,17,276491,10|11|12|13|14|15|16|17|18|37|38|39|40|41|42|43|44|45|46|47|48|49|50,23,10-10|11-10|12-11|13-12|14-13|15-14|16-15|17-16|18-43|37-12|38-37|39-40|40-15|41-40|42-41|43-42|44-43|45-44|46-45|47-46|48-47|49-48|50-49
Medium - Sparse - Prim,18,201608,10|11|12|13|14|15|16|17|18|28|29|30|31|32|33|34|35|36,18,10-10|11-10|12-11|13-12|14-13|15-14|16-15|17-16|18-17|28-29|29-30|30-31|31-32|32-33|33-34|34-35|35-36|36-11
Medium - Sparse - Prim,19,314369,10|11|12|13|14|15|16|17|18|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,27,10-10|11-10|12-11|13-12|14-13|15-14|16-15|17-16|18-43|28-29|29-30|30-31|31-32|32-33|33-34|34-35|35-36|36-37|37-12|38-37|39-40|40-15|41-40|42-41|43-42|44-43|45-44
Medium - Sparse - Prim,20,241702,10|11|12|13|14|15|16|17|18|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,32,10-10|11-10|12-11|13-12|14-13|15-14|16-15|17-16|18-43|28-29|29-30|30-31|31-32|32-33|33-34|34-35|35-36|36-37|37-12|38-37|39-40|40-15|41-40|42-41|43-42|44-43|45-44|46-45|47-46|48-47|49-48|50-49
Medium - Sparse - Prim,21,164040,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27,18,10-10|11-10|12-11|13-12|14-13|15-14|16-15|17-16|18-17|19-18|20-19|21-20|22-21|23-22|24-23|25-24|26-25|27-26
Medium - Sparse - Prim,22,158125,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|46|47|48|49|50,23,10-10|11-10|12-11|13-12|14-13|15-14|16-15|17-16|18-17|19-18|20-19|21-20|22-21|23-22|24-23|25-24|26-25|27-26|46-21|47-22|48-23|49-48|50-25
Medium - Sparse - Prim,23,154632,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45,27,10-10|11-10|12-11|13-12|14-13|15-14|16-15|17-16|18-43|19-18|20-19|21-20|22-21|23-22|24-23|25-24|26-25|27-26|37-12|38-37|39-40|40-15|41-40|42-41|43-42|44-19|45-20
Medium - Sparse - Prim,24,221824,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45|46|47|48|49|50,32,10-10|11-10|12-11|13-12|14-13|15-14|16-15|17-16|18-43|19-18|20-19|21-20|22-21|23-22|24-23|25-24|26-25|27-26|37-12|38-37|39-40|40-15|41-40|42-41|43-42|44-19|45-20|46-21|47-22|48-23|49-48|50-25
