#small-kruskal.csv
#Raphael
#Wirnsberger
#12220836
group,number,duration,relevantVertices,numberOfRelevantVertices,selectedEdges
Small - Sparse - Kruskal,1,3006093827,6,1,0-0
Small - Sparse - Kruskal,2,70638,5,1,0-0
Small - Sparse - Kruskal,3,122928,5|6,2,6-5|0-0
Small - Sparse - Kruskal,4,54189,4,1,0-0
Small - Sparse - Kruskal,5,66084,4|5,2,5-4|0-0
Small - Sparse - Kruskal,6,52612,4|5|6,3,6-5|5-4|0-0
Small - Sparse - Kruskal,7,47664,3,1,0-0
Small - Sparse - Kruskal,8,44829,3|6,2,6-3|0-0
Small - Sparse - Kruskal,9,45966,3|5|6,3,6-3|6-5|0-0
Small - Sparse - Kruskal,10,38843,3|4,2,4-3|0-0
Small - Sparse - Kruskal,11,35413,3|4|6,3,6-3|4-3|0-0
Small - Sparse - Kruskal,12,56326,3|4|5,3,4-3|5-4|0-0
Small - Sparse - Kruskal,13,59970,3|4|5|6,4,6-3|4-3|6-5|0-0
Small - Sparse - Kruskal,14,33887,2,1,0-0
Small - Sparse - Kruskal,15,35980,2|5,2,5-2|0-0
Small - Sparse - Kruskal,16,29623,2|5|6,3,5-2|6-5|0-0
Small - Sparse - Kruskal,17,28588,2|4|5,3,5-2|5-4|0-0
Small - Sparse - Kruskal,18,33190,2|4|5|6,4,5-2|6-5|5-4|0-0
Small - Sparse - Kruskal,19,36987,2|3,2,3-2|0-0
Small - Sparse - Kruskal,20,30500,2|3|6,3,6-3|3-2|0-0
Small - Sparse - Kruskal,21,29308,2|3|5,3,5-2|3-2|0-0
Small - Sparse - Kruskal,22,33133,2|3|5|6,4,5-2|6-3|3-2|0-0
Small - Sparse - Kruskal,23,28545,2|3|4,3,4-3|3-2|0-0
Small - Sparse - Kruskal,24,45655,2|3|4|6,4,6-3|4-3|3-2|0-0
Small - Sparse - Kruskal,25,39861,2|3|4|5,4,5-2|4-3|3-2|0-0
Small - Sparse - Kruskal,26,36607,2|3|4|5|6,5,5-2|6-3|4-3|3-2|0-0
Small - Sparse - Kruskal,27,21456,1,1,0-0
Small - Sparse - Kruskal,28,34423,1|6,2,6-1|0-0
Small - Sparse - Kruskal,29,35895,1|5|6,3,6-1|6-5|0-0
Small - Sparse - Kruskal,30,34046,1|4,2,4-1|0-0
Small - Sparse - Kruskal,31,47095,1|4|6,3,4-1|6-1|0-0
Small - Sparse - Kruskal,32,58583,1|4|5,3,4-1|5-4|0-0
Small - Sparse - Kruskal,33,44289,1|4|5|6,4,4-1|6-1|6-5|0-0
Small - Sparse - Kruskal,34,30370,1|3|6,3,6-3|6-1|0-0
Small - Sparse - Kruskal,35,31534,1|3|5|6,4,6-3|6-1|6-5|0-0
Small - Sparse - Kruskal,36,32645,1|3|4,3,4-1|4-3|0-0
Small - Sparse - Kruskal,37,31603,1|3|4|6,4,6-3|4-1|6-1|0-0
Small - Sparse - Kruskal,38,31347,1|3|4|5,4,4-1|4-3|5-4|0-0
Small - Sparse - Kruskal,39,41964,1|3|4|5|6,5,6-3|4-1|6-1|6-5|0-0
Small - Sparse - Kruskal,40,24538,1|2,2,2-1|0-0
Small - Sparse - Kruskal,41,27385,1|2|6,3,2-1|6-1|0-0
Small - Sparse - Kruskal,42,29726,1|2|5,3,5-2|2-1|0-0
Small - Sparse - Kruskal,43,30653,1|2|5|6,4,5-2|2-1|6-1|0-0
Small - Sparse - Kruskal,44,26274,1|2|4,3,2-1|4-1|0-0
Small - Sparse - Kruskal,45,25823,1|2|4|6,4,2-1|4-1|6-1|0-0
Small - Sparse - Kruskal,46,25150,1|2|4|5,4,5-2|2-1|4-1|0-0
Small - Sparse - Kruskal,47,25465,1|2|4|5|6,5,5-2|2-1|4-1|6-1|0-0
Small - Sparse - Kruskal,48,23096,1|2|3,3,2-1|3-2|0-0
Small - Sparse - Kruskal,49,29064,1|2|3|6,4,6-3|2-1|6-1|0-0
Small - Sparse - Kruskal,50,25929,1|2|3|5,4,5-2|2-1|3-2|0-0
Small - Sparse - Kruskal,51,28421,1|2|3|5|6,5,5-2|6-3|2-1|6-1|0-0
