#small-prim.csv
#Raphael
#Wirnsberger
#12220836
group,number,duration,relevantVertices,numberOfRelevantVertices,selectedEdges
Small - Sparse - Prim,1,1117734,6,1,6-6
Small - Sparse - Prim,2,42351,5,1,5-5
Small - Sparse - Prim,3,121995,5|6,2,5-5|6-5
Small - Sparse - Prim,4,51298,4,1,4-4
Small - Sparse - Prim,5,76531,4|5,2,4-4|5-4
Small - Sparse - Prim,6,97560,4|5|6,3,4-4|5-4|6-5
Small - Sparse - Prim,7,30983,3,1,3-3
Small - Sparse - Prim,8,63981,3|6,2,3-3|6-3
Small - Sparse - Prim,9,101351,3|5|6,3,3-3|5-6|6-3
Small - Sparse - Prim,10,59696,3|4,2,3-3|4-3
Small - Sparse - Prim,11,104745,3|4|6,3,3-3|4-3|6-3
Small - Sparse - Prim,12,91679,3|4|5,3,3-3|4-3|5-4
Small - Sparse - Prim,13,127467,3|4|5|6,4,3-3|4-3|5-6|6-3
Small - Sparse - Prim,14,31755,2,1,2-2
Small - Sparse - Prim,15,72701,2|5,2,2-2|5-2
Small - Sparse - Prim,16,89976,2|5|6,3,2-2|5-2|6-5
Small - Sparse - Prim,17,81664,2|4|5,3,2-2|4-5|5-2
Small - Sparse - Prim,18,120838,2|4|5|6,4,2-2|4-5|5-2|6-5
Small - Sparse - Prim,19,61707,2|3,2,2-2|3-2
Small - Sparse - Prim,20,94045,2|3|6,3,2-2|3-2|6-3
Small - Sparse - Prim,21,102218,2|3|5,3,2-2|3-2|5-2
Small - Sparse - Prim,22,115373,2|3|5|6,4,2-2|3-2|5-2|6-3
Small - Sparse - Prim,23,92027,2|3|4,3,2-2|3-2|4-3
Small - Sparse - Prim,24,108874,2|3|4|6,4,2-2|3-2|4-3|6-3
Small - Sparse - Prim,25,124714,2|3|4|5,4,2-2|3-2|4-3|5-2
Small - Sparse - Prim,26,159493,2|3|4|5|6,5,2-2|3-2|4-3|5-2|6-3
Small - Sparse - Prim,27,27243,1,1,1-1
Small - Sparse - Prim,28,52654,1|6,2,1-1|6-1
Small - Sparse - Prim,29,66101,1|5|6,3,1-1|5-6|6-1
Small - Sparse - Prim,30,65834,1|4,2,1-1|4-1
Small - Sparse - Prim,31,73427,1|4|6,3,1-1|4-1|6-1
Small - Sparse - Prim,32,78112,1|4|5,3,1-1|4-1|5-4
Small - Sparse - Prim,33,100063,1|4|5|6,4,1-1|4-1|5-6|6-1
Small - Sparse - Prim,34,64462,1|3|6,3,1-1|3-6|6-1
Small - Sparse - Prim,35,92370,1|3|5|6,4,1-1|3-6|5-6|6-1
Small - Sparse - Prim,36,70134,1|3|4,3,1-1|3-4|4-1
Small - Sparse - Prim,37,87384,1|3|4|6,4,1-1|3-6|4-1|6-1
Small - Sparse - Prim,38,91701,1|3|4|5,4,1-1|3-4|4-1|5-4
Small - Sparse - Prim,39,129742,1|3|4|5|6,5,1-1|3-6|4-1|5-6|6-1
Small - Sparse - Prim,40,52991,1|2,2,1-1|2-1
Small - Sparse - Prim,41,66390,1|2|6,3,1-1|2-1|6-1
Small - Sparse - Prim,42,66043,1|2|5,3,1-1|2-1|5-2
Small - Sparse - Prim,43,93190,1|2|5|6,4,1-1|2-1|5-2|6-1
Small - Sparse - Prim,44,79609,1|2|4,3,1-1|2-1|4-1
Small - Sparse - Prim,45,111942,1|2|4|6,4,1-1|2-1|4-1|6-1
Small - Sparse - Prim,46,106834,1|2|4|5,4,1-1|2-1|4-1|5-2
Small - Sparse - Prim,47,105061,1|2|4|5|6,5,1-1|2-1|4-1|5-2|6-1
Small - Sparse - Prim,48,56151,1|2|3,3,1-1|2-1|3-2
Small - Sparse - Prim,49,85251,1|2|3|6,4,1-1|2-1|3-6|6-1
Small - Sparse - Prim,50,84549,1|2|3|5,4,1-1|2-1|3-2|5-2
Small - Sparse - Prim,51,99890,1|2|3|5|6,5,1-1|2-1|3-6|5-2|6-1
Small - Sparse - Prim,52,83071,1|2|3|4,4,1-1|2-1|3-4|4-1
Small - Sparse - Prim,53,121268,1|2|3|4|6,5,1-1|2-1|3-6|4-1|6-1
Small - Sparse - Prim,54,105536,1|2|3|4|5,5,1-1|2-1|3-4|4-1|5-2
Small - Sparse - Prim,55,127481,1|2|3|4|5|6,6,1-1|2-1|3-6|4-1|5-2|6-1
Small - Dense - Prim,56,24036,6,1,6-6
Small - Dense - Prim,57,20784,5,1,5-5
Small - Dense - Prim,58,47708,5|6,2,5-5|6-5
Small - Dense - Prim,59,18985,4,1,4-4
Small - Dense - Prim,60,28415,4|6,2,4-4|6-4
Small - Dense - Prim,61,55634,4|5,2,4-4|5-4
Small - Dense - Prim,62,43875,4|5|6,3,4-4|5-6|6-4
Small - Dense - Prim,63,17373,3,1,3-3
Small - Dense - Prim,64,30508,3|6,2,3-3|6-3
Small - Dense - Prim,65,32893,3|5,2,3-3|5-3
Small - Dense - Prim,66,38343,3|5|6,3,3-3|5-3|6-3
Small - Dense - Prim,67,27245,3|4,2,3-3|4-3
Small - Dense - Prim,68,53951,3|4|6,3,3-3|4-3|6-3
Small - Dense - Prim,69,40944,3|4|5,3,3-3|4-3|5-3
Small - Dense - Prim,70,54191,3|4|5|6,4,3-3|4-3|5-3|6-3
Small - Dense - Prim,71,17122,2,1,2-2
Small - Dense - Prim,72,34959,2|6,2,2-2|6-2
Small - Dense - Prim,73,27462,2|5,2,2-2|5-2
Small - Dense - Prim,74,39054,2|5|6,3,2-2|5-2|6-2
Small - Dense - Prim,75,27176,2|4,2,2-2|4-2
